,season_year,season_type,week,home_team,home_score,away_team,away_score,team,forced_fumble,fg_block,fumble_rec,fumble_rec_tds,kicking_rec_tds,kickret_tds,puntret_tds,puntret_tds,ints,int_tds,misc_tds,punt_block,safety,sack,xp_block
171,2016,Preseason,3,JAC,26,CIN,21,CIN,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0
172,2016,Preseason,3,MIN,23,SD,10,SD,4,0,2,0,0,0,0,0,0,0,0,0,0,5.0,0
173,2016,Preseason,3,NYJ,20,NYG,21,NYG,3,0,1,0,0,0,0,0,2,1,0,0,0,2.0,0
174,2016,Preseason,3,BAL,30,DET,9,DET,1,0,1,0,0,0,0,0,0,0,0,0,0,2.0,0
175,2016,Preseason,3,IND,23,PHI,33,IND,0,0,0,0,0,0,0,0,1,0,1,1,0,1.0,0
176,2016,Regular,3,TEN,10,OAK,17,OAK,1,0,1,0,0,0,0,0,2,0,0,0,0,1.0,0
177,2016,Regular,3,TB,32,LA,37,LA,1,0,1,1,0,0,0,0,1,0,0,0,0,2.0,0
178,2016,Regular,3,MIA,30,CLE,24,MIA,2,0,1,0,0,0,0,0,0,0,0,0,0,4.0,0
179,2016,Preseason,3,CAR,17,NE,19,NE,0,0,0,0,0,0,0,0,3,0,0,0,0,1.0,0
180,2016,Regular,3,TEN,10,OAK,17,TEN,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0
181,2016,Regular,3,CIN,17,DEN,29,DEN,1,0,1,0,0,0,0,0,1,0,0,0,0,4.0,0
182,2016,Regular,3,BUF,33,ARI,18,ARI,2,0,0,0,0,0,0,0,1,0,0,0,1,4.0,0
183,2016,Preseason,3,HOU,34,ARI,24,HOU,1,0,1,0,0,0,0,0,4,1,0,0,0,3.0,0
184,2016,Preseason,3,DEN,17,UNK,9,UNK,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0
185,2016,Regular,3,IND,26,SD,22,IND,3,0,3,0,0,0,0,0,0,0,0,0,0,2.0,1
186,2016,Preseason,3,NO,14,PIT,27,NO,1,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0
187,2016,Preseason,3,CHI,7,KC,23,KC,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0
188,2016,Preseason,3,CHI,7,KC,23,CHI,1,0,0,0,0,0,0,0,1,0,0,0,0,2.0,0
189,2016,Regular,3,CIN,17,DEN,29,CIN,1,0,1,0,0,0,0,0,0,0,0,0,0,2.0,1
190,2016,Preseason,3,TB,30,CLE,13,TB,1,0,0,0,0,0,1,1,0,0,0,0,0,8.0,0
191,2016,Preseason,3,SEA,27,DAL,17,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0
192,2016,Preseason,4,KC,17,GB,7,KC,2,0,2,0,0,0,0,0,0,0,0,0,0,4.0,0
193,2016,Regular,4,CIN,22,MIA,7,MIA,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0
194,2016,Regular,4,WAS,31,CLE,20,WAS,2,0,2,0,0,0,0,0,1,0,0,0,0,1.0,0
195,2016,Regular,4,ARI,13,LA,17,LA,2,0,2,0,0,0,0,0,3,0,0,0,0,3.0,0
196,2016,Regular,4,SD,34,NO,35,NO,2,0,2,0,0,0,0,0,1,0,0,0,0,3.0,0
197,2016,Preseason,4,CLE,7,CHI,21,CLE,0,0,1,0,0,0,0,0,0,0,0,0,0,3.0,1
198,2016,Preseason,4,NYG,17,NE,9,NYG,2,0,2,0,0,0,0,0,1,0,0,0,0,4.0,0
199,2016,Preseason,4,TB,13,WAS,20,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0
200,2016,Preseason,4,NO,14,BAL,23,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0
201,2016,Preseason,4,CAR,18,PIT,6,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0
202,2016,Regular,4,CHI,17,DET,14,CHI,0,0,0,0,0,0,0,0,2,0,0,0,0,2.0,0
203,2016,Preseason,4,CIN,10,IND,13,IND,1,0,1,0,0,0,0,0,1,0,0,0,0,0.0,0
204,2016,Preseason,4,ARI,38,DEN,17,ARI,0,0,0,0,0,0,0,0,1,1,0,0,0,1.0,0
205,2016,Regular,4,SD,34,NO,35,SD,0,0,0,0,0,0,0,0,2,0,0,0,0,2.0,0
206,2016,Regular,4,SF,17,DAL,24,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0
207,2016,Regular,4,SF,17,DAL,24,DAL,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0
