season_year,season_type,week,team,full_name,position,receiving_rec,receiving_tar,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yac,receiving_yds,fumbles_total,fumble_rec_tds,kicking_rec_tds,kickret_tds,puntret_tds,rushing_att,rushing_yds,rushing_tds,rushing_loss_yards,rushing_twoptm,team_score,opp_score,opp_team,h/a,total_points,rec_percentage,score_percentage,yds_per_rec,yds_per_rush,DK points
2016,Preseason,1,GB,Trevor Davis,WR,2,5,0,0,0,1,23,0,0,0,0,0,0,0,0,0,0,17,11,CLE,1,0,0.4,0.0,11.5,,4.3
2016,Preseason,1,GB,Ty Montgomery,WR,1,3,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,17,11,CLE,1,0,0.333333333333,0.0,7.0,,1.7
2016,Preseason,1,KC,Da'Ron Brown,WR,1,3,0,0,0,17,25,0,0,0,0,0,0,0,0,0,0,16,17,SEA,1,0,0.333333333333,0.0,25.0,,3.5
2016,Preseason,1,KC,Jeremy Maclin,WR,1,1,0,0,0,3,20,0,0,0,0,0,0,0,0,0,0,16,17,SEA,1,0,1.0,0.0,20.0,,3.0
2016,Preseason,1,KC,Rod Streater,WR,1,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,16,17,SEA,1,0,0.333333333333,0.0,21.0,,3.1
2016,Preseason,1,KC,Tyreek Hill,WR,1,4,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,16,17,SEA,1,0,0.25,0.0,6.0,,1.6
2016,Preseason,1,SEA,Doug Baldwin,WR,2,2,0,0,0,7,23,0,0,0,0,0,0,0,0,0,0,17,16,KC,0,0,1.0,0.0,11.5,,4.3
2016,Preseason,1,SEA,Kenny Lawler,WR,2,4,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0,17,16,KC,0,0,0.5,0.0,7.0,,3.4
2016,Preseason,1,SEA,Paul Richardson,WR,3,6,0,0,0,2,23,0,0,0,0,0,0,0,0,0,0,17,16,KC,0,0,0.5,0.0,7.66666666667,,5.3
2016,Preseason,1,SEA,Tanner McEvoy,WR,3,6,1,0,0,5,77,0,0,0,0,0,0,0,0,0,0,17,16,KC,0,6,0.5,0.352941176471,25.6666666667,,16.7
2016,Preseason,1,SEA,Tyler Lockett,WR,1,1,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,17,16,KC,0,0,1.0,0.0,11.0,,2.1
2016,Preseason,1,SEA,Uzoma Nwachukwu,WR,3,5,0,0,0,2,36,0,0,0,0,0,0,0,0,0,0,17,16,KC,0,0,0.6,0.0,12.0,,6.6
2016,Preseason,1,NE,Aaron Dobson,WR,3,4,0,0,0,13,27,0,0,0,0,0,0,0,0,0,0,34,22,NO,1,0,0.75,0.0,9.0,,5.7
